"SMILES","ALDH1_inhibition"
"COc1ccccc1CC(NC(C)=O)C(=O)NC1CCN(c2nnnn2-c2ccccc2)CC1","1"
"O=C(CSc1nc2cccnc2n1Cc1ccccc1)NCc1ccco1","1"
"Cc1cccc2cc(C[NH+](CC3CCCO3)C(c3nnnn3Cc3ccco3)C(C)C)c(O)nc12","1"
"CCN(CC)c1ccc2c(Cl)c(Br)c(=O)oc2c1","1"
"CS(=O)(=O)N1CCc2cc(-c3csc(NC(=O)Cc4cccs4)n3)ccc21","1"
"CC1CCCCN1S(=O)(=O)c1ccc(NC(=O)c2cccc(-n3cnnn3)c2)cc1","1"
"COCCN(C(=O)C(F)(F)F)C(C(=O)NC1CCCCC1)c1ccco1","1"
"COc1ccccc1N1CCN(C(=O)CSc2nnc(-c3ccoc3C)o2)CC1","1"
"O=c1c2ccccc2nc(SCc2ccccc2)n1Cc1ccco1","1"
"N#Cc1c(NC(=O)CSc2nnnn2C2CCCC2)sc2c1CCCC2","1"
"COc1ccc(C(=O)C2=C(O)C(=O)N(c3cc(C)on3)C2c2ccccc2OC)cc1","1"
"C/C([NH2+]CCC[NH+]1CCOCC1)=C1/C(=O)NC(=O)N(c2ccccc2C)C1=O","1"
"CCC(CC)COC(=O)C(C#N)c1nc2ccccc2nc1N1CCOCC1","1"
"CCc1nc(NCC[NH+]2CCOCC2)c2oc3ccccc3c2n1","1"
"Cc1cc(-n2c(C)cc(C(=O)CSc3nnnn3-c3ccccc3)c2C)no1","1"
"Cc1ccc(C)c(SCC(=O)OCC(=O)Nc2ccc(S(=O)(=O)N3CCOCC3)cc2)c1","1"
"Cc1ccc(-n2nnnc2SCC(=O)c2cc(C)n(-c3cc(C)on3)c2C)c(C)c1","1"
"O=S(=O)(c1ccc2c(c1)OCCO2)N(Cc1ccc(F)cc1)Cc1nnc(-c2cccs2)o1","1"
"CCN(C(=O)CSc1nc[nH]n1)c1cccc2ccccc12","1"
"CN(Cc1ccccc1)C(=O)CSc1nc2ccccc2c(=O)n1Cc1ccco1","1"
"O=c1oc2ccccc2c([O-])c1/C=N/Cc1ccccn1","1"
"COC(=O)c1c(N)n(-c2ccc(N3CCOCC3)cc2)c2nc3ccccc3nc12","1"
"O=C([O-])c1ccccc1C(=O)N1CCN(c2ccccc2)CC1","1"
"COc1cccc(Cn2c(=O)cnc3cncnc32)c1","1"
"O=C(c1ccco1)N1CCC[C@@]2(CC[NH+](Cc3ccncc3)C2)C1","1"
"COc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccccc3C)CC2)c2cccnc12","1"
"CCOC(=O)N1CCN(C(=O)Nc2sc3nc4n(c(=O)c3c2C)CCC(C)CC4)CC1","1"
